Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
9265,09/12/20,8:00 AM,Delhi,-,-,565039,9763,1852266
9206,07/12/20,8:00 AM,Maharashtra,-,-,1581373,47734,1652266
9267,09/12/20,8:00 AM,Gujarat,-,-,203111,4110,1452265
9268,09/12/20,8:00 AM,Haryana,-,-,232108,2624,1352264
9271,09/12/20,8:00 AM,Jharkhand,-,-,107898,988,1052262
9275,09/12/20,8:00 AM,Madhya Pradesh,-,-,200664,3358,1000000
8261,10/11/20,8:00 AM,Maharashtra***,-,-,1581373,45325,1723135
9272,09/12/20,8:00 AM,Karnataka,-,-,858370,11880,895284
9237,08/12/20,8:00 AM,Karnataka,-,-,857351,11867,894004
9202,07/12/20,8:00 AM,Karnataka,-,-,855750,11856,893006
9167,06/12/20,8:00 AM,Karnataka,-,-,854861,11846,891685
9132,05/12/20,8:00 AM,Karnataka,-,-,853461,11834,890360
9097,04/12/20,8:00 AM,Karnataka,-,-,852584,11821,889113
9062,03/12/20,8:00 AM,Karnataka,-,-,851690,11808,887667
9027,02/12/20,8:00 AM,Karnataka,-,-,850707,11792,886227
8992,01/12/20,8:00 AM,Karnataka,-,-,849821,11778,884897
8957,30/11/20,8:00 AM,Karnataka,-,-,847612,11765,883899
8922,29/11/20,8:00 AM,Karnataka,-,-,846082,11750,882608
8887,28/11/20,8:00 AM,Karnataka,-,-,843950,11738,881086
8852,27/11/20,8:00 AM,Karnataka,-,-,842499,11726,879560
8817,26/11/20,8:00 AM,Karnataka,-,-,841432,11714,878055
8782,25/11/20,8:00 AM,Karnataka,-,-,840099,11695,876425
8747,24/11/20,8:00 AM,Karnataka,-,-,838150,11678,874555
8712,23/11/20,8:00 AM,Karnataka,-,-,836505,11654,873046
9258,09/12/20,8:00 AM,Andhra Pradesh,-,-,860368,7042,872839
9223,08/12/20,8:00 AM,Andhra Pradesh,-,-,859624,7038,872288
9188,07/12/20,8:00 AM,Andhra Pradesh,-,-,859029,7033,871972
8677,22/11/20,8:00 AM,Karnataka,-,-,834968,11641,871342
9153,06/12/20,8:00 AM,Andhra Pradesh,-,-,858115,7024,871305
9118,05/12/20,8:00 AM,Andhra Pradesh,-,-,857233,7020,870675
9083,04/12/20,8:00 AM,Andhra Pradesh,-,-,856320,7014,870076
8642,21/11/20,8:00 AM,Karnataka,-,-,833169,11621,869561
9048,03/12/20,8:00 AM,Andhra Pradesh,-,-,855485,7003,869412
9013,02/12/20,8:00 AM,Andhra Pradesh,-,-,854326,6996,868749
8978,01/12/20,8:00 AM,Andhra Pradesh,-,-,853232,6992,868064
8607,20/11/20,8:00 AM,Karnataka,-,-,830988,11604,867780
8943,30/11/20,8:00 AM,Andhra Pradesh,-,-,852298,6988,867683
8908,29/11/20,8:00 AM,Andhra Pradesh,-,-,848511,6981,867063
8873,28/11/20,8:00 AM,Andhra Pradesh,-,-,847325,6976,866438
8572,19/11/20,8:00 AM,Karnataka,-,-,829188,11578,865931
8838,27/11/20,8:00 AM,Andhra Pradesh,-,-,846120,6970,865705
8803,26/11/20,8:00 AM,Andhra Pradesh,-,-,845039,6962,864674
8537,18/11/20,8:00 AM,Karnataka,-,-,827241,11557,864140
8768,25/11/20,8:00 AM,Andhra Pradesh,-,-,843863,6956,863843
8502,17/11/20,8:00 AM,Karnataka,-,-,825141,11541,862804
8733,24/11/20,8:00 AM,Andhra Pradesh,-,-,842416,6948,862758
8698,23/11/20,8:00 AM,Andhra Pradesh,-,-,841026,6938,862213
